bookmarked_at,BookmarkedAt,post_url,PostUrl,post_title,PostTitle
"March 2, 2020 at 06:14PM","March 2, 2020 at 06:14PM",https://uxdesign.cc/laws-of-ux-and-examples-part-1-53128d3e824a?source=ifttt--------------2,https://uxdesign.cc/laws-of-ux-and-examples-part-1-53128d3e824a?source=ifttt--------------2,Laws of UX and examples,Laws of UX and examples
"March 2, 2020 at 06:45PM","March 2, 2020 at 06:45PM",https://medium.com/the-lucky-freelancer/hey-bookworms-this-site-will-pay-you-up-to-60-to-review-books-no-experience-necessary-798697b8a690?source=ifttt--------------2,https://medium.com/the-lucky-freelancer/hey-bookworms-this-site-will-pay-you-up-to-60-to-review-books-no-experience-necessary-798697b8a690?source=ifttt--------------2,"Hey, Bookworms, This Site Will Pay You Up To $60 To Review Books -- No Experience Necessary","Hey, Bookworms, This Site Will Pay You Up To $60 To Review Books -- No Experience Necessary"
"March 2, 2020 at 07:25PM","March 2, 2020 at 07:25PM",https://uxdesign.cc/7-principles-of-icon-design-e7187539e4a2?source=ifttt--------------2,https://uxdesign.cc/7-principles-of-icon-design-e7187539e4a2?source=ifttt--------------2,7 Principles of Icon Design,7 Principles of Icon Design
"March 2, 2020 at 09:46PM","March 2, 2020 at 09:46PM",https://medium.com/swlh/5-powerful-habits-of-successful-designers-3d9744d2e737?source=ifttt--------------2,https://medium.com/swlh/5-powerful-habits-of-successful-designers-3d9744d2e737?source=ifttt--------------2,5 Powerful Habits of Successful Designers.,5 Powerful Habits of Successful Designers.
"March 2, 2020 at 10:32PM","March 2, 2020 at 10:32PM",https://uxdesign.cc/start-a-design-project-like-a-pro-with-the-5w1h-method-1889cd40eddf?source=ifttt--------------2,https://uxdesign.cc/start-a-design-project-like-a-pro-with-the-5w1h-method-1889cd40eddf?source=ifttt--------------2,Starting a design project like a pro with the 5W1H method,Starting a design project like a pro with the 5W1H method
"March 3, 2020 at 06:03AM","March 3, 2020 at 06:03AM",https://blog.prototypr.io/the-design-principle-kiss-keep-it-simple-stupid-addea6ce3460?source=ifttt--------------2,https://blog.prototypr.io/the-design-principle-kiss-keep-it-simple-stupid-addea6ce3460?source=ifttt--------------2,"The Design Principle  --  Kiss (Keep it Simple, Stupid)","The Design Principle  --  Kiss (Keep it Simple, Stupid)"
"March 3, 2020 at 06:09AM","March 3, 2020 at 06:09AM",https://uxdesign.cc/5-things-you-need-to-do-for-stellar-affinity-maps-d00c7beab5e7?source=ifttt--------------2,https://uxdesign.cc/5-things-you-need-to-do-for-stellar-affinity-maps-d00c7beab5e7?source=ifttt--------------2,Tips for better affinity mapping in UX Research,Tips for better affinity mapping in UX Research
"March 3, 2020 at 06:10AM","March 3, 2020 at 06:10AM",https://uxplanet.org/12-principles-of-highly-effective-product-designers-a71a25ed007a?source=ifttt--------------2,https://uxplanet.org/12-principles-of-highly-effective-product-designers-a71a25ed007a?source=ifttt--------------2,12 Principles of Highly Effective Product Designers,12 Principles of Highly Effective Product Designers
"March 3, 2020 at 07:34AM","March 3, 2020 at 07:34AM",https://netflixtechblog.com/dblog-a-generic-change-data-capture-framework-69351fb9099b?source=ifttt--------------2,https://netflixtechblog.com/dblog-a-generic-change-data-capture-framework-69351fb9099b?source=ifttt--------------2,DBLog: A Generic Change-Data-Capture Framework,DBLog: A Generic Change-Data-Capture Framework
"March 3, 2020 at 04:26PM","March 3, 2020 at 04:26PM",https://medium.com/@kaanturnali/what-is-design-thinking-4fd4f57dabf0?source=ifttt--------------2,https://medium.com/@kaanturnali/what-is-design-thinking-4fd4f57dabf0?source=ifttt--------------2,What Is Design Thinking?,What Is Design Thinking?
